epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.65868,1.64861,3.37922,1.68449,0.00686,0.20975,0.02751,0.00996,2.26238,3.6633,2.57585,0.080992,0.000192,0.000192
2,11.033,1.64377,2.78981,1.60181,0.84058,0.0403,0.08912,0.04926,1.72812,3.06001,1.70585,0.061192,0.000391957,0.000391957
3,15.0373,1.60911,2.41489,1.5464,0.82186,0.08062,0.12693,0.06651,1.57404,2.71033,1.5834,0.0413917,0.000591743,0.000591743
4,18.9906,1.71716,2.43118,1.60927,0.37525,0.16606,0.18903,0.09278,1.56449,2.43819,1.60389,0.0215912,0.000791226,0.000791226
5,22.9435,1.69824,2.18461,1.56901,0.40256,0.24519,0.21771,0.10748,1.63971,2.1331,1.67966,0.00179028,0.000990278,0.000990278
6,26.8172,1.59518,2.0848,1.55269,0.44769,0.38152,0.32005,0.15997,1.58357,1.88516,1.62892,0.000997288,0.000997288,0.000997288
7,30.5899,1.69694,2.16875,1.57876,0.57709,0.30793,0.34452,0.18058,1.57888,2.02731,1.62412,0.000996097,0.000996097,0.000996097
8,34.7642,1.62437,2.11081,1.56981,0.54955,0.33022,0.32952,0.17445,1.57335,2.04158,1.58067,0.00099469,0.00099469,0.00099469
9,38.7866,1.60087,2.02985,1.55244,0.55116,0.3455,0.32628,0.16701,1.57779,1.98664,1.57617,0.000993068,0.000993068,0.000993068
10,42.6972,1.57679,1.95694,1.55503,0.48458,0.41238,0.34621,0.18435,1.53987,2.10478,1.54833,0.000991232,0.000991232,0.000991232
11,46.5883,1.63488,2.05821,1.58329,0.3616,0.41079,0.35232,0.19408,1.5296,2.27125,1.54661,0.000989183,0.000989183,0.000989183
12,50.4201,1.59967,1.90124,1.52844,0.42511,0.44701,0.43149,0.24382,1.49905,1.81361,1.53543,0.000986922,0.000986922,0.000986922
13,54.2878,1.57997,1.92452,1.52325,0.49756,0.42909,0.47093,0.27088,1.46106,1.70116,1.47425,0.000984449,0.000984449,0.000984449
14,58.1335,1.57597,1.83096,1.49235,0.45068,0.50251,0.46688,0.26923,1.46324,1.66157,1.47355,0.000981765,0.000981765,0.000981765
15,62.4187,1.49558,1.83315,1.46327,0.52462,0.4982,0.50432,0.28633,1.47553,1.62654,1.51991,0.000978873,0.000978873,0.000978873
16,66.3798,1.55671,1.81777,1.4698,0.49194,0.48088,0.4976,0.27657,1.52269,1.70233,1.5673,0.000975773,0.000975773,0.000975773
17,70.2602,1.5853,1.80425,1.49159,0.49255,0.47607,0.50921,0.27827,1.48889,1.82232,1.51519,0.000972466,0.000972466,0.000972466
18,74.1913,1.5643,1.77814,1.51014,0.56773,0.48969,0.51193,0.29041,1.46362,1.63938,1.47772,0.000968955,0.000968955,0.000968955
19,78.2204,1.44758,1.63409,1.41798,0.7509,0.49855,0.52975,0.31947,1.38076,1.47135,1.39791,0.000965239,0.000965239,0.000965239
20,82.1394,1.54554,1.70961,1.4606,0.5389,0.54261,0.57577,0.34505,1.38494,1.47894,1.41125,0.000961322,0.000961322,0.000961322
21,86.1786,1.49501,1.71406,1.45831,0.53851,0.54754,0.57836,0.35228,1.38126,1.45617,1.41258,0.000957205,0.000957205,0.000957205
22,90.2415,1.43014,1.61957,1.43048,0.58493,0.53009,0.57458,0.34105,1.37632,1.4162,1.4277,0.000952889,0.000952889,0.000952889
23,94.4495,1.41665,1.68963,1.47355,0.60435,0.54747,0.58774,0.35036,1.342,1.39396,1.40031,0.000948377,0.000948377,0.000948377
24,98.5755,1.45107,1.63744,1.41462,0.59597,0.55273,0.59195,0.34739,1.30036,1.38975,1.36601,0.000943671,0.000943671,0.000943671
25,102.623,1.4693,1.60336,1.38548,0.52757,0.58331,0.57728,0.33211,1.31461,1.44169,1.37142,0.000938772,0.000938772,0.000938772
26,106.939,1.37873,1.59111,1.40807,0.58681,0.52552,0.56739,0.32077,1.34179,1.50408,1.38812,0.000933683,0.000933683,0.000933683
27,111.157,1.43135,1.63042,1.41693,0.62006,0.51551,0.58263,0.34714,1.29346,1.40848,1.3669,0.000928405,0.000928405,0.000928405
28,115.434,1.45484,1.61622,1.41381,0.58495,0.55429,0.58661,0.35516,1.29296,1.35117,1.37164,0.000922942,0.000922942,0.000922942
29,119.833,1.45518,1.57314,1.44586,0.80319,0.54966,0.64037,0.3955,1.26272,1.32974,1.36159,0.000917296,0.000917296,0.000917296
30,124.447,1.3806,1.51155,1.395,0.85959,0.55312,0.65408,0.4074,1.27596,1.29337,1.36355,0.000911469,0.000911469,0.000911469
31,129.198,1.42508,1.50062,1.39532,0.85165,0.55721,0.6447,0.40035,1.27684,1.23037,1.34961,0.000905463,0.000905463,0.000905463
32,133.889,1.39426,1.48175,1.36024,0.65738,0.54543,0.62592,0.39877,1.27866,1.26874,1.35722,0.000899282,0.000899282,0.000899282
33,138.9,1.35618,1.48713,1.37136,0.79969,0.53744,0.62893,0.39289,1.29127,1.26336,1.36151,0.000892928,0.000892928,0.000892928
34,143.773,1.37545,1.49283,1.34284,0.82292,0.5616,0.63861,0.40533,1.28332,1.22272,1.36186,0.000886404,0.000886404,0.000886404
35,148.706,1.3306,1.50819,1.36928,0.80194,0.57306,0.6395,0.40969,1.27907,1.21706,1.37715,0.000879713,0.000879713,0.000879713
36,153.961,1.33057,1.46059,1.35602,0.79738,0.60766,0.65911,0.41764,1.29417,1.25731,1.38112,0.000872857,0.000872857,0.000872857
37,158.908,1.33697,1.45716,1.39078,0.76105,0.62888,0.65109,0.41922,1.28828,1.26935,1.36549,0.000865839,0.000865839,0.000865839
38,163.956,1.36078,1.40629,1.38342,0.80432,0.59743,0.65458,0.42906,1.21727,1.25111,1.29922,0.000858664,0.000858664,0.000858664
39,168.997,1.35186,1.38718,1.36469,0.83437,0.61921,0.67464,0.44904,1.17211,1.17252,1.27055,0.000851333,0.000851333,0.000851333
40,174.573,1.32641,1.42602,1.36727,0.83089,0.6101,0.6838,0.47066,1.15125,1.10506,1.26188,0.000843851,0.000843851,0.000843851
41,179.757,1.30669,1.39339,1.32921,0.86319,0.60056,0.68925,0.47542,1.14228,1.09725,1.24836,0.00083622,0.00083622,0.00083622
42,184.677,1.3112,1.3297,1.33056,0.79015,0.65579,0.69943,0.48228,1.13397,1.10718,1.2382,0.000828443,0.000828443,0.000828443
43,189.89,1.31672,1.32859,1.3326,0.80351,0.67462,0.71266,0.48465,1.1259,1.09449,1.23848,0.000820525,0.000820525,0.000820525
44,195.53,1.26199,1.32599,1.31578,0.65479,0.66652,0.72388,0.49403,1.1265,1.10511,1.24376,0.000812468,0.000812468,0.000812468
45,201.043,1.27856,1.27193,1.32279,0.88043,0.64815,0.72838,0.50804,1.1007,1.05574,1.23511,0.000804277,0.000804277,0.000804277
46,206.021,1.30698,1.30638,1.33286,0.84436,0.67207,0.7328,0.50286,1.09597,1.03773,1.23216,0.000795954,0.000795954,0.000795954
47,211.023,1.27993,1.31892,1.30943,0.84884,0.65669,0.7266,0.49229,1.09864,1.05205,1.2252,0.000787503,0.000787503,0.000787503
48,215.916,1.23433,1.35568,1.29977,0.85143,0.65443,0.73692,0.49554,1.09426,1.06082,1.21556,0.000778929,0.000778929,0.000778929
49,221.023,1.24534,1.24902,1.31007,0.84978,0.64509,0.72551,0.48973,1.08687,1.02808,1.19893,0.000770234,0.000770234,0.000770234
50,225.983,1.24673,1.28496,1.27441,0.85567,0.64523,0.72985,0.49725,1.07287,1.00646,1.18771,0.000761423,0.000761423,0.000761423
51,230.947,1.17974,1.25557,1.29076,0.8691,0.62765,0.7376,0.51734,1.04438,0.97671,1.16422,0.0007525,0.0007525,0.0007525
52,235.895,1.19393,1.2285,1.27074,0.86534,0.64681,0.741,0.5373,1.02402,0.94302,1.14948,0.000743468,0.000743468,0.000743468
53,240.769,1.19056,1.26146,1.28451,0.89113,0.66013,0.75514,0.55764,1.02207,0.93156,1.14899,0.000734332,0.000734332,0.000734332
54,245.798,1.18609,1.21509,1.2552,0.91163,0.66575,0.76786,0.55601,0.99974,0.92119,1.14214,0.000725094,0.000725094,0.000725094
55,250.834,1.19085,1.21275,1.24579,0.73583,0.76045,0.78466,0.56072,1.01121,0.92352,1.14933,0.000715761,0.000715761,0.000715761
56,255.758,1.15496,1.15804,1.2296,0.71905,0.76155,0.78576,0.57824,0.98522,0.89288,1.1385,0.000706335,0.000706335,0.000706335
57,260.69,1.20718,1.23713,1.27546,0.71954,0.75594,0.78379,0.58636,0.99449,0.8855,1.14202,0.00069682,0.00069682,0.00069682
58,265.748,1.14578,1.14423,1.24333,0.74544,0.77312,0.79502,0.57548,0.99406,0.89567,1.14082,0.000687222,0.000687222,0.000687222
59,270.772,1.1572,1.17482,1.25267,0.7608,0.77358,0.7993,0.5697,1.01057,0.92574,1.1515,0.000677543,0.000677543,0.000677543
60,275.665,1.17455,1.1824,1.24363,0.73367,0.78222,0.8016,0.57081,1.0119,0.96495,1.15496,0.000667789,0.000667789,0.000667789
61,281.22,1.13413,1.17429,1.21204,0.88767,0.70005,0.78714,0.58139,0.95426,0.89143,1.12843,0.000657963,0.000657963,0.000657963
62,286.366,1.14328,1.10844,1.23457,0.9262,0.66234,0.78954,0.5873,0.95958,0.87288,1.1267,0.000648071,0.000648071,0.000648071
63,291.327,1.15537,1.14151,1.27032,0.7243,0.77184,0.82996,0.6207,0.93636,0.85832,1.11112,0.000638115,0.000638115,0.000638115
64,296.394,1.05223,1.0794,1.16965,0.86979,0.74783,0.83833,0.62995,0.92971,0.84738,1.10438,0.000628101,0.000628101,0.000628101
65,301.519,1.13787,1.12267,1.22549,0.94164,0.76346,0.8594,0.65302,0.92447,0.81244,1.10058,0.000618034,0.000618034,0.000618034
66,306.639,1.15056,1.10322,1.22963,0.9281,0.75921,0.86249,0.65464,0.91311,0.81222,1.09383,0.000607916,0.000607916,0.000607916
67,311.791,1.11713,1.06919,1.19402,0.84957,0.75658,0.8696,0.6539,0.91375,0.84997,1.09127,0.000597754,0.000597754,0.000597754
68,316.992,1.12066,1.09858,1.24437,0.86274,0.74519,0.86114,0.65317,0.91481,0.86953,1.09218,0.000587551,0.000587551,0.000587551
69,321.939,1.09145,1.06027,1.22475,0.86622,0.74139,0.86224,0.65316,0.91474,0.86247,1.09496,0.000577311,0.000577311,0.000577311
70,326.899,1.11768,1.0676,1.21503,0.87627,0.75122,0.8626,0.65262,0.90766,0.82788,1.08284,0.00056704,0.00056704,0.00056704
71,331.954,1.07255,1.03955,1.189,0.89175,0.74536,0.8585,0.65579,0.90799,0.8129,1.07879,0.000556742,0.000556742,0.000556742
72,337.613,1.12544,1.10582,1.21287,0.9062,0.7479,0.85706,0.6582,0.89633,0.79269,1.07056,0.000546421,0.000546421,0.000546421
73,345.305,1.06162,1.02794,1.18014,0.92255,0.74261,0.86003,0.66299,0.88415,0.77892,1.06624,0.000536081,0.000536081,0.000536081
74,351.592,1.06395,1.0548,1.20703,0.87829,0.7449,0.86675,0.66488,0.87637,0.79849,1.06672,0.000525728,0.000525728,0.000525728
75,358.687,1.07792,1.00501,1.18316,0.84221,0.7584,0.8641,0.66212,0.87286,0.81694,1.06511,0.000515366,0.000515366,0.000515366
76,365.001,1.05446,0.97219,1.15534,0.79244,0.77669,0.84918,0.65563,0.85905,0.81039,1.06067,0.000505,0.000505,0.000505
77,370.569,1.07154,1.05171,1.19959,0.87387,0.72003,0.84977,0.65279,0.86361,0.79175,1.06951,0.000494634,0.000494634,0.000494634
